StrandDiameter,Strands,A,AirGap,B,C,Current,D,E,Frequency,phi_A,phi_B,Turns,StrandedLossAC,CoreLoss,L,CoreType
0.139,600,65.0,0.808,60.0,42.0,4.11,45.0,40.8,183,26.0,55.0,18,7903.10651137581,15525.6,303.517246620743,PQ65/60
0.115,120,26.5,2.193,24.8,16.1,4.85,19.0,15.5,267,12.0,22.5,27,15757.083537206,1972.04,71.66932309420639,PQ26/25
0.123,500,40.5,1.034,30.3,20.0,11.05,28.0,28.0,232,14.9,37.0,9,8251.059078865559,7187.02,22.353711365747102,PQ40/30
0.089,250,20.5,0.776,16.2,10.3,2.42,14.0,12.5,441,8.8,18.0,10,554.743315089495,240.804,13.0621703624298,PQ20/16
0.088,350,32.0,2.124,20.5,11.5,6.51,22.0,19.0,455,13.4,27.5,10,4990.78646552628,830.842,12.0935833246398,PQ32/20
0.104,180,32.0,0.706,20.5,11.5,1.55,22.0,19.0,327,13.4,27.5,26,2873.12525061343,1503.21,205.638568161953,PQ32/20
0.111,30,65.0,2.205,60.0,42.0,13.55,45.0,40.8,284,26.0,55.0,10,8342.837737017639,19010.2,40.7222067329457,PQ65/60
0.077,350,32.0,1.378,30.4,21.3,1.49,22.0,19.0,444,13.4,27.5,26,1702.70617112435,849.1419999999999,120.967153707285,PQ32/30
0.2,200,35.1,0.438,34.8,25.0,6.46,26.0,23.5,37,14.3,32.0,8,167.737273226885,315.191,33.4421929832209,PQ35/35
0.164,150,50.0,1.108,50.0,36.1,9.7,32.5,31.5,132,20.0,44.0,10,2271.38623704429,5362.9,44.5250479382344,PQ50/50
0.096,200,26.5,1.89,20.2,11.5,7.76,19.0,15.5,386,12.0,22.5,14,12451.7723691748,2372.54,21.0335641725214,PQ26/20
0.146,40,26.5,1.509,24.8,16.1,2.97,19.0,15.5,166,12.0,22.5,45,10150.2098141971,1908.16,269.916608600048,PQ26/25
0.133,250,40.5,1.971,39.8,29.5,9.13,28.0,28.0,201,14.9,37.0,19,19026.2036707207,8721.08,61.3879128427733,PQ40/40
0.077,500,50.0,0.517,40.0,26.1,1.2,32.0,31.5,591,20.0,44.0,13,282.12782199410503,2932.18,142.186699021768,PQ50/40
0.122,100,35.1,2.432,34.8,25.0,4.56,26.0,23.5,239,14.3,32.0,46,33491.5181940492,10310.8,277.925337511031,PQ35/35
0.114,30,65.0,2.24,60.0,42.0,10.22,45.0,40.8,273,26.0,55.0,14,6891.06515876863,20006.3,78.7206427596873,PQ65/60
0.117,300,26.5,0.136,20.2,11.5,2.19,19.0,15.5,80,12.0,22.5,7,23.49971726489,312.83,51.7638885945367,PQ26/20
0.105,20,35.1,1.839,34.8,25.0,13.92,26.0,23.5,320,14.3,32.0,8,6530.67802393656,5955.65,10.421837092318999,PQ35/35
0.091,250,35.1,1.656,34.8,25.0,1.93,26.0,23.5,425,14.3,32.0,27,3130.11736338393,1630.62,128.78707001854,PQ35/35
0.2,40,32.0,1.473,20.5,11.5,5.96,22.0,19.0,62,13.4,27.5,30,7209.05469500985,665.811,147.517441508374,PQ32/20
0.193,100,40.5,2.27,39.8,29.5,11.96,28.0,28.0,95,14.9,37.0,24,25937.090674777897,6090.4800000000005,88.1644153573844,PQ40/40
0.096,80,20.5,0.845,20.2,14.3,1.91,14.0,12.5,381,8.8,18.0,26,1577.42850312267,1377.04,84.0672267695109,PQ20/20
0.077,600,40.5,1.503,30.3,20.0,2.25,28.0,28.0,595,14.9,37.0,19,3745.51709226373,1955.35,73.78585907547209,PQ40/30
0.086,120,26.5,2.481,20.2,11.5,4.39,19.0,15.5,473,12.0,22.5,18,4689.554832399241,813.81,27.638176751204,PQ26/20
0.187,120,50.0,2.174,40.0,26.1,9.08,32.0,31.5,101,20.0,44.0,22,18172.560794953,4053.75,122.893554435941,PQ50/40
0.183,50,32.0,2.303,30.4,21.3,6.58,22.0,19.0,105,13.4,27.5,30,12357.8284180942,1525.49,107.479452917497,PQ32/30
0.116,250,40.5,2.097,39.8,29.5,5.35,28.0,28.0,261,14.9,37.0,25,14316.0770138356,6324.63,101.405962777047,PQ40/40
0.2,60,26.5,0.313,20.2,11.5,2.52,19.0,15.5,86,12.0,22.5,14,430.024234603273,448.023,98.4259882006915,PQ26/20
0.145,100,50.0,1.261,40.0,26.1,6.43,32.0,31.5,169,20.0,44.0,18,4766.70905544562,8026.71,128.236855358283,PQ50/40
0.12,10,16.4,0.81,11.6,6.7,1.16,11.2,9.6,247,7.0,14.4,62,1926.40437111043,617.126,317.655796745315,PQ16/11.6
0.144,80,50.0,2.495,40.0,26.1,6.06,32.0,31.5,170,20.0,44.0,39,29375.7986789434,12241.4,345.9955971112,PQ50/40
0.073,350,32.0,0.145,30.4,21.3,0.95,22.0,19.0,243,13.4,27.5,13,23.542239054076102,2098.65,203.213466331928,PQ32/30
0.11,500,35.1,1.664,34.8,25.0,8.71,26.0,23.5,293,14.3,32.0,11,8804.72542298212,4169.75,21.291516768688403,PQ35/35
0.078,200,20.5,1.436,20.2,14.3,2.14,14.0,12.5,586,8.8,18.0,19,1834.96909864586,591.275,29.5001055555849,PQ20/20
0.094,180,20.5,0.614,16.2,10.3,3.81,14.0,12.5,399,8.8,18.0,10,1035.02932122114,1126.23,15.8628514969118,PQ20/16
0.104,400,32.0,0.995,30.4,21.3,5.82,22.0,19.0,324,13.4,27.5,11,4079.40711864517,3611.35,28.1543578178434,PQ32/30
0.116,300,50.0,1.605,40.0,26.1,4.59,32.0,31.5,261,20.0,44.0,20,8818.04683838138,5778.2,129.781830393637,PQ50/40
0.078,30,16.4,2.195,11.6,6.7,1.99,11.2,9.6,576,7.0,14.4,32,1893.05294260202,233.218,36.937897944891006,PQ16/11.6
0.178,150,50.0,2.262,40.0,26.1,12.95,32.0,31.5,111,20.0,44.0,16,17650.2629535782,4898.14,62.9709703884461,PQ50/40
0.2,60,26.5,0.624,24.8,16.1,6.21,19.0,15.5,71,12.0,22.5,12,956.799150988102,573.994,39.9116059750296,PQ26/25
0.082,60,20.5,2.416,16.2,10.3,1.43,14.0,12.5,524,8.8,18.0,49,4524.91459076757,482.622,123.813828432231,PQ20/16
0.145,80,50.0,0.697,40.0,26.1,4.05,32.0,31.5,169,20.0,44.0,15,980.157856733322,5494.69,146.72538254621702,PQ50/40
0.2,30,20.5,0.516,20.2,14.3,3.33,14.0,12.5,83,8.8,18.0,19,695.1209446005699,439.646,67.1398842747695,PQ20/20
0.095,30,32.0,1.842,20.5,11.5,0.64,22.0,19.0,394,13.4,27.5,174,22541.5559839904,3649.01,4119.73749354807,PQ32/20
0.107,200,35.1,2.163,34.8,25.0,9.96,26.0,23.5,310,14.3,32.0,14,9520.35236163114,7253.42,28.1791869006004,PQ35/35
0.151,500,50.0,1.137,50.0,36.1,11.32,32.5,31.5,154,20.0,44.0,9,6562.00304443354,7661.870000000001,35.3208861221351,PQ50/50
0.157,80,26.5,0.254,20.2,11.5,1.71,19.0,15.5,143,12.0,22.5,14,271.784683831161,676.5980000000001,118.470187632059,PQ26/20
0.11,250,32.0,1.641,30.4,21.3,6.04,22.0,19.0,291,13.4,27.5,17,9833.81590778234,3593.19,45.051925445572,PQ32/30
0.152,180,32.0,0.63,20.5,11.5,5.44,22.0,19.0,152,13.4,27.5,11,2692.83734970675,1340.49,40.6304007482364,PQ32/20
0.084,120,26.5,1.886,24.8,16.1,1.09,19.0,15.5,495,12.0,22.5,50,5135.44679369805,818.486,277.768552575487,PQ26/25
0.092,400,26.5,2.402,20.2,11.5,7.53,19.0,15.5,417,12.0,22.5,10,7784.74627223791,605.949,8.7648944926335,PQ26/20
0.147,50,32.0,1.656,20.5,11.5,3.89,22.0,19.0,163,13.4,27.5,38,14721.027915008699,1896.27,214.684234732257,PQ32/20
0.104,180,20.5,0.469,20.2,14.3,3.36,14.0,12.5,326,8.8,18.0,8,335.058214673507,721.308,12.8474969016295,PQ20/20
0.174,150,35.1,2.221,34.8,25.0,14.57,26.0,23.5,116,14.3,32.0,14,14735.402493798001,3055.6899999999996,27.6069131324524,PQ35/35
0.101,150,26.5,0.265,20.2,11.5,1.63,19.0,15.5,346,12.0,22.5,10,172.196239668536,1126.72,58.0820039774537,PQ26/20
0.16,200,35.1,1.596,34.8,25.0,14.93,26.0,23.5,137,14.3,32.0,10,7901.9211467449995,3548.67,18.1945829514048,PQ35/35
0.077,600,40.5,1.117,30.3,20.0,1.8,28.0,28.0,594,14.9,37.0,18,2071.7044761229204,1757.7,83.8968085362788,PQ40/30
0.089,200,20.5,1.084,20.2,14.3,2.44,14.0,12.5,449,8.8,18.0,13,801.7147903327,333.628,17.2344192167595,PQ20/20
0.129,300,40.5,2.243,30.3,20.0,14.89,28.0,28.0,212,14.9,37.0,14,31647.114790842,8447.11,29.3232542572698,PQ40/30
0.08,600,32.0,0.806,20.5,11.5,2.1,22.0,19.0,545,13.4,27.5,11,1278.69951310592,638.944,32.8479412142836,PQ32/20
0.094,180,26.5,0.42,20.2,11.5,2.74,19.0,15.5,399,12.0,22.5,9,431.18734460492504,1480.58,31.3085761491934,PQ26/20
0.079,600,35.1,2.404,34.8,25.0,4.17,26.0,23.5,568,14.3,32.0,18,9925.456481552861,3460.15,42.9038113670106,PQ35/35
0.081,500,35.1,2.321,34.8,25.0,3.54,26.0,23.5,534,14.3,32.0,20,8026.2528534141,2827.45,54.4277090906992,PQ35/35
0.088,600,26.5,1.389,20.2,11.5,5.57,19.0,15.5,455,12.0,22.5,8,3710.17083276045,595.558,8.89598426306188,PQ26/20
0.08,180,26.5,0.545,24.8,16.1,1.22,19.0,15.5,552,12.0,22.5,13,200.309858328043,569.79,52.4344767275055,PQ26/25
0.136,80,35.1,1.326,34.8,25.0,3.9,26.0,23.5,190,14.3,32.0,29,5372.0824873233,4581.79,176.917268162654,PQ35/35
0.066,350,32.0,1.101,30.4,21.3,1.17,22.0,19.0,523,13.4,27.5,27,897.1246197984069,1063.08,156.287224317864,PQ32/30
0.2,150,107.0,2.235,87.0,56.0,16.93,70.0,72.5,51,41.0,93.7,17,8686.1325548461,16830.3,265.811279308501,PQ107/87
0.079,250,26.5,1.078,24.8,16.1,2.83,19.0,15.5,564,12.0,22.5,12,1125.7928574642299,987.33,25.2374719160787,PQ26/25
0.2,10,65.0,1.347,60.0,42.0,12.9,45.0,40.8,65,26.0,55.0,13,8577.43818939139,6349.75,103.043190440412,PQ65/60
0.089,250,20.5,0.904,16.2,10.3,2.63,14.0,12.5,447,8.8,18.0,10,665.026571600857,219.83,11.524946352802601,PQ20/16
0.149,30,26.5,1.085,20.2,11.5,1.68,19.0,15.5,160,12.0,22.5,59,7199.47500247687,1247.2700000000002,595.855050131147,PQ26/20
0.088,600,32.0,0.951,30.4,21.3,3.04,22.0,19.0,454,13.4,27.5,9,915.302281991679,770.757,19.5488866245826,PQ32/30
0.2,20,26.5,0.306,20.2,11.5,3.78,19.0,15.5,71,12.0,22.5,10,192.514894564636,397.029,51.255605396454,PQ26/20
0.199,30,32.0,0.792,20.5,11.5,3.25,22.0,19.0,89,13.4,27.5,29,3065.65008536034,961.743,232.125816270948,PQ32/20
0.141,200,65.0,2.011,60.0,42.0,3.07,45.0,40.8,178,26.0,55.0,57,45175.6657490372,19194.0,1424.29551568003,PQ65/60
0.16,40,40.5,1.417,30.3,20.0,9.67,28.0,28.0,137,14.9,37.0,13,2632.37612238719,2605.78,36.221456721177,PQ40/30
0.105,10,16.4,1.777,11.6,6.7,1.75,11.2,9.6,319,7.0,14.4,63,4124.21826764528,550.248,171.117772367906,PQ16/11.6
0.121,300,40.5,0.972,39.8,29.5,4.9,28.0,28.0,242,14.9,37.0,18,5835.90379441311,8732.46,95.1368974279362,PQ40/40
0.087,60,20.5,2.062,20.2,14.3,1.3,14.0,12.5,471,8.8,18.0,47,2895.1461526879802,562.284,135.90909859917,PQ20/20
0.139,250,26.5,0.736,24.8,16.1,7.97,19.0,15.5,183,12.0,22.5,8,2673.17405968708,1535.15,15.4203336029407,PQ26/25
0.105,100,26.5,1.759,24.8,16.1,2.87,19.0,15.5,319,12.0,22.5,38,13503.8268599898,2707.02,169.861828965338,PQ26/25
0.107,300,32.0,1.079,30.4,21.3,5.23,22.0,19.0,310,13.4,27.5,12,3274.17759317639,2651.19,31.3744114919749,PQ32/30
0.14,20,20.5,2.335,20.2,14.3,3.48,14.0,12.5,181,8.8,18.0,57,12319.3590782784,1623.98,181.121641863067,PQ20/20
0.1,30,20.5,1.667,16.2,10.3,2.88,14.0,12.5,355,8.8,18.0,37,4860.725033547759,1588.85,95.8720850337481,PQ20/16
0.116,30,16.4,1.939,11.6,6.7,3.43,11.2,9.6,264,7.0,14.4,32,5508.9154342303,316.87,41.0441401034865,PQ16/11.6
0.106,400,107.0,1.797,87.0,56.0,6.4,70.0,72.5,313,41.0,93.7,16,6657.01318295378,50975.6,282.091636418156,PQ107/87
0.131,30,16.4,0.665,11.6,6.7,2.7,11.2,9.6,207,7.0,14.4,22,1348.01049626738,413.151,46.9907293747391,PQ16/11.6
0.093,80,16.4,1.725,11.6,6.7,3.66,11.2,9.6,404,7.0,14.4,15,1721.8884848033,142.351,9.947616676190561,PQ16/11.6
0.158,200,40.5,1.778,39.8,29.5,9.58,28.0,28.0,141,14.9,37.0,16,10016.1720277681,4019.48,47.028379029237804,PQ40/40
0.2,150,50.0,2.171,50.0,36.1,16.38,32.5,31.5,74,20.0,44.0,17,19343.6444137919,7039.22,75.2764942119543,PQ50/50
0.2,20,26.5,1.612,24.8,16.1,4.31,19.0,15.5,59,12.0,22.5,44,4921.35411504959,598.067,244.694133120822,PQ26/25
0.105,80,16.4,0.5,11.6,6.7,2.02,11.2,9.6,323,7.0,14.4,15,624.508521547136,305.255,27.7538013527539,PQ16/11.6
0.118,250,32.0,1.6,30.4,21.3,6.04,22.0,19.0,254,13.4,27.5,15,6813.75158199629,2131.41,35.7942973346908,PQ32/30
0.097,600,50.0,1.805,50.0,36.1,14.02,32.5,31.5,376,20.0,44.0,8,8507.04038604539,19295.0,19.2185738271678,PQ50/50
0.081,600,26.5,0.072,20.2,11.5,0.74,19.0,15.5,155,12.0,22.5,9,7.5509917961149,515.737,149.75640138564,PQ26/20
0.142,10,20.5,2.029,20.2,14.3,2.67,14.0,12.5,174,8.8,18.0,69,7330.91359599109,1654.94,296.835070713383,PQ20/20
0.093,100,26.5,1.475,20.2,11.5,1.03,19.0,15.5,411,12.0,22.5,42,3082.6166343599302,398.791,233.18635770466,PQ26/20
0.2,30,26.5,1.325,24.8,16.1,5.72,19.0,15.5,61,12.0,22.5,29,4068.66741017521,678.898,124.670860974776,PQ26/25
0.157,300,40.5,1.288,30.3,20.0,13.31,28.0,28.0,143,14.9,37.0,9,7269.83650670924,3041.28,18.7433036729579,PQ40/30
0.123,300,35.1,0.722,34.8,25.0,4.5,26.0,23.5,232,14.3,32.0,14,2972.70562030156,5135.32,67.3230001401862,PQ35/35
0.082,350,107.0,1.369,87.0,56.0,2.98,70.0,72.5,520,41.0,93.7,13,765.462978558338,18198.1,234.391474519455,PQ107/87
0.097,180,26.5,1.39,20.2,11.5,4.09,19.0,15.5,378,12.0,22.5,20,9609.58521459483,2141.95,55.6092371663817,PQ26/20
0.147,200,40.5,0.938,30.3,20.0,8.18,28.0,28.0,163,14.9,37.0,10,2612.1028496994,2774.22,29.8696106640914,PQ40/30
0.091,10,32.0,1.981,20.5,11.5,3.32,22.0,19.0,428,13.4,27.5,17,1941.09738968597,589.197,37.0242707137796,PQ32/20
0.079,100,20.5,1.195,16.2,10.3,3.09,14.0,12.5,570,8.8,18.0,12,697.45750710017,471.912,13.2167760900497,PQ20/16
0.091,250,32.0,2.49,30.4,21.3,4.34,22.0,19.0,428,13.4,27.5,17,4765.02882187359,1283.6000000000001,32.4359300223281,PQ32/30
0.08,180,32.0,1.434,20.5,11.5,2.1,22.0,19.0,551,13.4,27.5,21,2660.41310956187,1005.07,73.8550893328343,PQ32/20
0.112,60,20.5,1.656,20.2,14.3,3.95,14.0,12.5,281,8.8,18.0,24,3795.8569113849003,1084.2099999999998,42.1363023367658,PQ20/20
0.089,150,20.5,1.045,16.2,10.3,1.88,14.0,12.5,442,8.8,18.0,16,812.591879015023,226.618,26.2069568063447,PQ20/16
0.111,80,26.5,1.817,20.2,11.5,3.33,19.0,15.5,284,12.0,22.5,33,11737.2069685579,1520.17,120.846276462276,PQ26/20
0.084,180,26.5,0.8,24.8,16.1,0.72,19.0,15.5,432,12.0,22.5,32,741.323509434502,416.578,229.908418308178,PQ26/25
0.083,180,20.5,2.016,20.2,14.3,3.17,14.0,12.5,518,8.8,18.0,18,2893.08240802906,581.992,20.2805187549392,PQ20/20
0.139,200,65.0,1.572,60.0,42.0,4.7,45.0,40.8,182,26.0,55.0,30,15815.5203253568,19252.6,482.594985024918,PQ65/60
0.081,20,20.5,2.426,16.2,10.3,1.16,14.0,12.5,544,8.8,18.0,60,2128.16005371898,502.1,184.90998726344,PQ20/16
0.077,350,32.0,1.824,20.5,11.5,3.06,22.0,19.0,588,13.4,27.5,17,5382.05143275268,1030.71,39.609062900717,PQ32/20
0.081,100,20.5,1.9,20.2,14.3,1.65,14.0,12.5,533,8.8,18.0,34,2869.67374027388,664.164,75.8672030937787,PQ20/20
0.093,600,50.0,1.571,50.0,36.1,3.96,32.5,31.5,350,20.0,44.0,23,11569.8120868051,13005.0,177.372985078592,PQ50/50
0.128,100,26.5,0.548,20.2,11.5,3.1,19.0,15.5,215,12.0,22.5,16,1666.25947118946,1611.85,78.5701820920414,PQ26/20
0.125,60,32.0,0.207,30.4,21.3,1.36,22.0,19.0,227,13.4,27.5,13,71.6583448294266,2114.48,149.347825714311,PQ32/30
0.096,400,40.5,1.828,30.3,20.0,11.35,28.0,28.0,380,14.9,37.0,10,9252.332422229809,7709.24,17.5252263064577,PQ40/30
0.094,600,65.0,1.994,60.0,42.0,3.79,45.0,40.8,396,26.0,55.0,30,29611.6920527105,27482.5,397.015310682778,PQ65/60
0.078,250,40.5,2.029,30.3,20.0,1.25,28.0,28.0,581,14.9,37.0,47,7114.4515669928405,2343.14,356.867540371288,PQ40/30
0.122,30,32.0,2.205,20.5,11.5,1.82,22.0,19.0,236,13.4,27.5,111,44661.491746255,4501.86,1445.37151228456,PQ32/20
0.117,50,32.0,1.864,20.5,11.5,1.39,22.0,19.0,260,13.4,27.5,76,14793.7711808328,1453.27,778.310237873008,PQ32/20
0.107,40,32.0,1.595,30.4,21.3,1.36,22.0,19.0,310,13.4,27.5,72,6293.60890421943,3778.01,826.596436126902,PQ32/30
0.113,200,35.1,1.012,34.8,25.0,5.94,26.0,23.5,278,14.3,32.0,11,1796.31590193871,3813.13,31.5418456054969,PQ35/35
0.087,60,16.4,1.579,11.6,6.7,1.98,11.2,9.6,467,7.0,14.4,24,1599.9412707808501,154.278,27.4347328344504,PQ16/11.6
0.111,60,40.5,2.254,30.3,20.0,12.28,28.0,28.0,287,14.9,37.0,11,4262.81888008702,4740.15,18.0335276628018,PQ40/30
0.2,100,35.1,1.607,34.8,25.0,11.15,26.0,23.5,30,14.3,32.0,17,1671.8334962901001,397.413,52.3096247549674,PQ35/35
0.2,150,50.0,1.418,50.0,36.1,10.11,32.5,31.5,26,20.0,44.0,18,1443.63740889781,829.391,118.177109545112,PQ50/50
0.081,300,20.5,0.882,20.2,14.3,3.15,14.0,12.5,537,8.8,18.0,8,467.656162099497,384.229,7.6762502327759,PQ20/20
0.084,300,20.5,0.699,20.2,14.3,3.51,14.0,12.5,496,8.8,18.0,6,252.56532977497298,337.714,5.21554459446533,PQ20/20
0.106,120,26.5,1.737,24.8,16.1,3.86,19.0,15.5,314,12.0,22.5,29,13123.043919692,2904.36,99.9086831861825,PQ26/25
0.2,100,40.5,1.466,39.8,29.5,7.63,28.0,28.0,70,14.9,37.0,22,5506.92578917834,2050.09,103.117261543147,PQ40/40
0.162,350,40.5,1.378,39.8,29.5,14.68,28.0,28.0,135,14.9,37.0,9,7611.19611916374,4210.89,18.0887280663921,PQ40/40
0.087,120,20.5,0.98,20.2,14.3,2.3,14.0,12.5,470,8.8,18.0,13,455.185362139777,382.601,18.652189363475202,PQ20/20
0.111,250,32.0,2.19,30.4,21.3,7.85,22.0,19.0,289,13.4,27.5,16,13431.723093833201,3360.0699999999997,31.7919292773401,PQ32/30
0.08,300,26.5,1.996,24.8,16.1,3.22,19.0,15.5,556,12.0,22.5,19,6270.73667131046,1221.13,38.34337682961,PQ26/25
0.084,300,20.5,1.219,20.2,14.3,3.84,14.0,12.5,506,8.8,18.0,9,979.9472560945111,410.091,7.52446291376612,PQ20/20
0.079,50,20.5,2.343,16.2,10.3,1.19,14.0,12.5,565,8.8,18.0,57,4175.15497809133,540.214,171.79994239214,PQ20/16
0.093,400,26.5,2.389,20.2,11.5,6.86,19.0,15.5,409,12.0,22.5,10,6489.98118854535,459.377,8.80740285664974,PQ26/20
0.083,200,32.0,2.052,20.5,11.5,4.55,22.0,19.0,508,13.4,27.5,14,3865.61272303768,1035.24,24.3862688988057,PQ32/20
0.163,200,50.0,1.776,40.0,26.1,7.36,32.0,31.5,133,20.0,44.0,21,17545.4832176946,5286.4800000000005,131.897459472224,PQ50/40
0.2,40,40.5,1.468,39.8,29.5,4.81,28.0,28.0,59,14.9,37.0,35,2850.30391966257,1506.13,260.694042830998,PQ40/40
0.077,60,16.4,1.458,11.6,6.7,2.56,11.2,9.6,599,7.0,14.4,17,1060.36556190568,232.03799999999998,14.705332290898,PQ16/11.6
0.082,180,20.5,1.402,20.2,14.3,3.85,14.0,12.5,527,8.8,18.0,11,1079.84361476944,565.299,10.081263727386,PQ20/20
0.084,400,26.5,1.825,20.2,11.5,4.64,19.0,15.5,505,12.0,22.5,12,5624.23919510082,707.399,15.9185370249882,PQ26/20
